Estado,Municipio,Colonia,Codigo
Distrito Federal,Álvaro Obregón,Jalalpa Tepito 2a Ampliación,1296
Distrito Federal,Álvaro Obregón,Ampliación Piloto Adolfo López Mateos,1298
Distrito Federal,Álvaro Obregón,1a Ampliación Presidentes,1299
Distrito Federal,Álvaro Obregón,2a Ampliación Presidentes,1299
Distrito Federal,Álvaro Obregón,San Gabriel,1310
Distrito Federal,Álvaro Obregón,Carlos A. Madrazo,1320
Distrito Federal,Álvaro Obregón,Paseo de las Lomas,1330
Distrito Federal,Álvaro Obregón,Bejero del Pueblo Santa Fe,1340
Distrito Federal,Álvaro Obregón,Santa Fe,1376
Distrito Federal,Álvaro Obregón,Santa Fe Peña Blanca,1376
Distrito Federal,Álvaro Obregón,Santa Fe La Loma,1376
Distrito Federal,Álvaro Obregón,Santa Fe Centro Ciudad,1376
Distrito Federal,Álvaro Obregón,Jalalpa El Grande,1377
Distrito Federal,Álvaro Obregón,Antonio Carrillo Flores,1379
Distrito Federal,Álvaro Obregón,Santa Fe Tlayapaca,1389
Distrito Federal,Álvaro Obregón,Olivar del Conde 1a Sección,1400
Distrito Federal,Álvaro Obregón,Preconcreto,1400
Distrito Federal,Álvaro Obregón,Galeana,1407
Distrito Federal,Álvaro Obregón,Olivar del Conde 2a Sección,1408
Distrito Federal,Álvaro Obregón,Palmas,1410
Distrito Federal,Álvaro Obregón,Barrio Norte,1410
Distrito Federal,Álvaro Obregón,Minas Cristo Rey,1419
Distrito Federal,Álvaro Obregón,Sacramento,1420
Distrito Federal,Álvaro Obregón,Santa María Nonoalco,1420
Distrito Federal,Álvaro Obregón,Colina del Sur,1430
Distrito Federal,Álvaro Obregón,Abeto,1440
Distrito Federal,Álvaro Obregón,Unidad Popular Emiliano Zapata,1450
Distrito Federal,Álvaro Obregón,Batallón de San Patricio,1450
Distrito Federal,Álvaro Obregón,Hogar y Redención,1450
Distrito Federal,Álvaro Obregón,Cañada del Olivar,1450
Distrito Federal,Álvaro Obregón,Alfonso XIII,1460
Distrito Federal,Álvaro Obregón,Alfalfar,1470
Distrito Federal,Álvaro Obregón,Molino de Rosas,1470
Distrito Federal,Álvaro Obregón,Lomas de Plateros,1480
Distrito Federal,Álvaro Obregón,La Cascada,1490
Distrito Federal,Álvaro Obregón,Torres de Mixcoac,1490
Distrito Federal,Álvaro Obregón,Miguel Gaona Armenta,1500
Distrito Federal,Álvaro Obregón,Santa Lucia,1500
Distrito Federal,Álvaro Obregón,19 de Mayo,1504
Distrito Federal,Álvaro Obregón,Milpa los Cedros,1505
Distrito Federal,Álvaro Obregón,Arturo Gamiz,1506
Distrito Federal,Álvaro Obregón,Tetlalpan,1507
Distrito Federal,Álvaro Obregón,Ladera Chica,1508
Distrito Federal,Álvaro Obregón,Santa Lucía Chantepec,1509
Distrito Federal,Álvaro Obregón,La Araña,1510
Distrito Federal,Álvaro Obregón,Garcimarrero,1510
Distrito Federal,Álvaro Obregón,Los Cedros,1510
Distrito Federal,Álvaro Obregón,Ampliación Estado de Hidalgo,1520
Distrito Federal,Álvaro Obregón,Ampliación Los Pirules,1520
Distrito Federal,Álvaro Obregón,Estado de Hidalgo,1520
Distrito Federal,Álvaro Obregón,Piru Santa Lucia,1520
Distrito Federal,Álvaro Obregón,El Politoco,1520
Distrito Federal,Álvaro Obregón,Corpus Christy,1530
Distrito Federal,Álvaro Obregón,Universal,1537
Distrito Federal,Álvaro Obregón,Tepopotla,1538
Distrito Federal,Álvaro Obregón,Cooperativa Unión Olivos,1539
Distrito Federal,Álvaro Obregón,Acuilotla,1539
Distrito Federal,Álvaro Obregón,Providencia,1540
Distrito Federal,Álvaro Obregón,Punta de Cehuaya,1540
Distrito Federal,Álvaro Obregón,Llano Redondo,1540
Distrito Federal,Álvaro Obregón,Balcones de Cehuayo,1540
Distrito Federal,Álvaro Obregón,Cehuaya,1540
Distrito Federal,Álvaro Obregón,Villa Progresista,1548
Distrito Federal,Álvaro Obregón,Dos Ríos del Pueblo Santa Lucía,1549
Distrito Federal,Álvaro Obregón,Tepeaca,1550
Distrito Federal,Álvaro Obregón,Ampliación Tepeaca,1550
Distrito Federal,Álvaro Obregón,Rinconada Las Cuevitas,1550
Distrito Federal,Álvaro Obregón,Canutillo 2a Sección,1560
Distrito Federal,Álvaro Obregón,Ave Real,1560
Distrito Federal,Álvaro Obregón,Canutillo,1560
Distrito Federal,Álvaro Obregón,Canutillo 3a Sección,1560
Distrito Federal,Álvaro Obregón,Hueytlale,1566
Distrito Federal,Álvaro Obregón,Tepeaca,1567
Distrito Federal,Álvaro Obregón,Reacomodo Valentín Gómez Farías,1569
Distrito Federal,Álvaro Obregón,Bosques de Tarango,1580
Distrito Federal,Álvaro Obregón,Rancho Casa Blanca,1580
Distrito Federal,Álvaro Obregón,Las Haciendas,1585
